country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,0.14336,FALSE,,,,,,,,,
Bulgaria,BG,0.23210,FALSE,,,,,,,,,
Czechia,CZ,0.19211,FALSE,,,,,,,,,
Denmark,DK,0.46461,FALSE,,,,,,,,,
Germany,DE,0.22474,FALSE,,,,,,,,,
Estonia,EE,0.38015,FALSE,,,,,,,,,
Ireland,IE,0.16064,FALSE,,,,,,,,,
Greece,EL,0.25364,FALSE,,,,,,,,,
Spain,ES,0.25417,FALSE,,,,,,,,,
France,FR,0.23229,FALSE,,,,,,,,,
Croatia,HR,0.26788,FALSE,,,,,,,,,
Italy,IT,0.19371,FALSE,,,,,,,,,
Cyprus,CY,0.21900,FALSE,,,,,,,,,
Latvia,LV,0.45535,FALSE,,,,,,,,,
Lithuania,LT,0.35408,FALSE,,,,,,,,,
Luxembourg,LU,0.14742,FALSE,,,,,,,,,
Hungary,HU,0.18264,FALSE,,,,,,,,,
Malta,MT,0.17210,FALSE,,,,,,,,,
Netherlands,NL,0.20180,FALSE,,,,,,,,,
Austria,AT,0.42951,FALSE,,,,,,,,,
Poland,PL,0.17770,FALSE,,,,,,,,,
Portugal,PT,0.36319,FALSE,,,,,,,,,
Romania,RO,0.25378,FALSE,,,,,,,,,
Slovenia,SI,0.25001,FALSE,,,,,,,,,
Slovakia,SK,0.18092,FALSE,,,,,,,,,
Finland,FI,0.52124,FALSE,,,,,,,,,
Sweden,SE,0.62846,FALSE,,,,,,,,,
